Date,gross,after_fees,after_all_taxes
2024-12-06,110083.42836582607,109876.84972990864,107901.47978392692
2024-12-09,110129.61606986551,109922.07958868385,107937.66367094708
2024-12-10,110175.82315287995,109967.32806594083,107973.86245275267
2024-12-11,110222.0496230002,110012.59516934374,108010.07613547498
2024-12-12,110272.21498444512,110061.79295444407,108049.43436355525
2024-12-13,110322.40317765098,110111.01274086212,108088.81019268969
2024-12-16,110372.61421300922,110160.2545384369,108128.20363074951
2024-12-17,110422.84810091599,110209.51835701182,108167.61468560946
2024-12-18,110473.10485177215,110258.80420643472,108207.04336514778
2024-12-19,110523.38447598333,110308.11209655783,108246.48967724627
2024-12-20,110573.68698395988,110357.44203723776,108285.95362979021
2024-12-23,110624.01238611688,110406.79403833557,108325.43523066846
2024-12-24,110674.36069287418,110456.1681097167,108364.93448777337
2024-12-26,110724.73191465632,110505.56426125101,108404.45140900082
2024-12-27,110775.12606189263,110554.98250281278,108443.98600225023
2024-12-30,110825.54314501717,110604.42284428069,108483.53827542455
2024-12-31,110875.98317446877,110653.88529553787,108523.1082364303
