2025-09-17 12:30:29,891 - INFO - THRESHOLDS FINANCEIROS: buy=0.55 sell=0.25 hold_min_days=3
2025-09-17 12:30:29,892 - INFO - PROBABILIDADE MÉDIA: 0.609
2025-09-17 12:30:29,892 - INFO - ============================================================
2025-09-17 12:30:29,892 - INFO - INICIANDO BACKTESTING REALISTA
2025-09-17 12:30:29,892 - INFO - ============================================================
2025-09-17 12:30:29,892 - INFO - Tamanho test_df: 251
2025-09-17 12:30:29,892 - INFO - Tamanho predictions: 251
2025-09-17 12:30:29,892 - INFO - Tamanho probabilities: 251
2025-09-17 12:30:29,937 - INFO - PROGRESSO: Data 2024-05-27 | Pred: 1 | Cash: R$ 1,743.61 | Ações: 3700
2025-09-17 12:30:29,937 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.575, fração: 55.1%)
2025-09-17 12:30:29,937 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.690, fração: 76.9%)
2025-09-17 12:30:29,937 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.551, fração: 50.3%)
2025-09-17 12:30:29,937 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.619, fração: 63.8%)
2025-09-17 12:30:29,937 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.316, fração: 24.4%)
2025-09-17 12:30:29,937 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.354, fração: 26.3%)
2025-09-17 12:30:29,937 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.571, fração: 54.3%)
2025-09-17 12:30:29,939 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.399, fração: 29.5%)
2025-09-17 12:30:29,939 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.688, fração: 76.6%)
2025-09-17 12:30:29,939 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.540, fração: 48.3%)
2025-09-17 12:30:29,939 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.518, fração: 44.4%)
2025-09-17 12:30:29,939 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.736, fração: 83.7%)
2025-09-17 12:30:29,939 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.434, fração: 32.8%)
2025-09-17 12:30:29,939 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.675, fração: 74.3%)
2025-09-17 12:30:29,941 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.459, fração: 35.7%)
2025-09-17 12:30:29,941 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.540, fração: 48.4%)
2025-09-17 12:30:29,941 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.367, fração: 27.1%)
2025-09-17 12:30:29,941 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.475, fração: 37.8%)
2025-09-17 12:30:29,941 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.474, fração: 37.7%)
2025-09-17 12:30:29,941 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.742, fração: 84.5%)
2025-09-17 12:30:29,941 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.853, fração: 94.1%)
2025-09-17 12:30:29,941 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.882, fração: 95.5%)
2025-09-17 12:30:29,941 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.832, fração: 92.9%)
2025-09-17 12:30:29,943 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.668, fração: 73.1%)
2025-09-17 12:30:29,943 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.631, fração: 66.2%)
2025-09-17 12:30:29,943 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.886, fração: 95.6%)
2025-09-17 12:30:29,943 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.930, fração: 97.1%)
2025-09-17 12:30:29,943 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.842, fração: 93.4%)
2025-09-17 12:30:29,943 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.816, fração: 91.7%)
2025-09-17 12:30:29,943 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.949, fração: 97.6%)
2025-09-17 12:30:29,944 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.903, fração: 96.3%)
2025-09-17 12:30:29,944 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.964, fração: 98.0%)
2025-09-17 12:30:29,944 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.710, fração: 80.0%)
2025-09-17 12:30:29,944 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.863, fração: 94.6%)
2025-09-17 12:30:29,945 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.866, fração: 94.8%)
2025-09-17 12:30:29,945 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.730, fração: 82.9%)
2025-09-17 12:30:29,945 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.853, fração: 94.1%)
2025-09-17 12:30:29,945 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.832, fração: 92.8%)
2025-09-17 12:30:29,945 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.810, fração: 91.2%)
2025-09-17 12:30:29,945 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.794, fração: 90.0%)
2025-09-17 12:30:29,945 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.779, fração: 88.6%)
2025-09-17 12:30:29,947 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.714, fração: 80.6%)
2025-09-17 12:30:29,947 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.847, fração: 93.8%)
2025-09-17 12:30:29,947 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.806, fração: 90.9%)
2025-09-17 12:30:29,947 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.766, fração: 87.2%)
2025-09-17 12:30:29,947 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.943, fração: 97.5%)
2025-09-17 12:30:29,947 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.797, fração: 90.2%)
2025-09-17 12:30:29,947 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.775, fração: 88.2%)
2025-09-17 12:30:29,947 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.543, fração: 48.8%)
2025-09-17 12:30:29,949 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.450, fração: 34.6%)
2025-09-17 12:30:29,949 - INFO - PROGRESSO: Data 2024-08-06 | Pred: 1 | Cash: R$ 1,778.18 | Ações: 3700
2025-09-17 12:30:29,949 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.550, fração: 50.1%)
2025-09-17 12:30:29,949 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.722, fração: 81.7%)
2025-09-17 12:30:29,949 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.596, fração: 59.2%)
2025-09-17 12:30:29,949 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.568, fração: 53.7%)
2025-09-17 12:30:29,949 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.555, fração: 51.2%)
