Date,MACD_signal,BB_lower,EMA_long,BB_middle,OBV
2022-03-02,0.2696323294012988,11.743862256861258,11.674884786951411,12.265361499786376,4510146200.0
2022-03-03,0.2731558586453054,11.723429739826926,11.723833224871688,12.308600044250488,4568218000.0
2022-03-04,0.2758780983482043,11.714026827222296,11.76457665448188,12.33171033859253,4498980600.0
2022-03-07,0.2772671271078334,11.727048420356166,11.803576072476885,12.36358003616333,4443562600.0
2022-03-08,0.262664695440908,11.707711266940272,11.805525622740026,12.35854787826538,4332608500.0
2022-03-09,0.2421309629895223,11.700157392247895,11.817046351229388,12.3553795337677,4444242000.0
2022-03-10,0.2189988587272719,11.721899665989447,11.829577063477249,12.363020753860472,4532021300.0
2022-03-11,0.2017310992438808,11.794260253991446,11.85828020706781,12.397872352600098,4668459000.0
2022-03-14,0.1813886362205565,11.831133525598878,11.868170631519217,12.407936382293702,4576305300.0
2022-03-15,0.1560848602306029,11.79056645601998,11.86861033566192,12.397313117980955,4524031200.0
2022-03-16,0.1240630357396286,11.654242342246114,11.857777420025707,12.347738122940063,4457759200.0
2022-03-17,0.0876206836388988,11.519577824999274,11.843422646299304,12.307295417785644,4385724300.0
2022-03-18,0.0452417845139817,11.336380280283242,11.81764442768342,12.261261415481568,4207405000.0
2022-03-21,0.0048285886073231,11.2215719499817,11.801647594802068,12.218022966384888,4300502100.0
2022-03-22,-0.0254060560771939,11.188578611687117,11.80308815058524,12.198640251159668,4368202900.0
2022-03-23,-0.0484506781720946,11.148459295052437,11.802425815896711,12.17292094230652,4312074300.0
2022-03-24,-0.0631130899145687,11.13152488307897,11.808074954241508,12.139374017715454,4365030400.0
2022-03-25,-0.0694088714346879,11.126976252607308,11.818910975694063,12.114772748947145,4414433200.0
2022-03-28,-0.0706860078766797,11.135758583577958,11.82756796756856,12.078989124298095,4362653100.0
2022-03-29,-0.0727523168632467,11.109504350537758,11.82565332952943,12.045628547668455,4294042600.0
2022-03-30,-0.0708763079688882,11.123148934797324,11.834045915371163,12.013945150375369,4387851600.0
2022-03-31,-0.0623627290923664,11.182445251631531,11.852195477168804,11.98263463973999,4457500000.0
2022-04-01,-0.0472574315305473,11.216322443980369,11.876357293759517,11.967911195755004,4551769500.0
2022-04-04,-0.0313214075528715,11.266744027771386,11.893139784147182,11.945173645019532,4479224100.0
2022-04-05,-0.0174722082282414,11.276878023790198,11.904732838290233,11.961947298049926,4423171100.0
2022-04-06,-0.0074607140202772,11.276525963147298,11.911339851295391,11.960642671585084,4377323900.0
2022-04-07,-0.000540833212575,11.275868044624092,11.91724926256075,11.956915187835694,4320376800.0
2022-04-08,0.0140706291465266,11.257896505958245,11.947484307648269,11.963251972198488,4438846200.0
2022-04-11,0.0337159502895918,11.212121369991536,11.979018565971767,11.995308065414427,4499618900.0
2022-04-12,0.053863515227659,11.202424247572395,12.005515663666598,12.034073638916016,4451493500.0
2022-04-13,0.0725522060530526,11.242609374643797,12.029511807660468,12.085325956344604,4382970700.0
2022-04-14,0.0934632832122541,11.289918501266785,12.063091601357549,12.155029249191283,4484409500.0
2022-04-18,0.1123127801111502,11.454024059661489,12.090081394611984,12.233291912078858,4365027400.0
2022-04-19,0.1250477053654738,11.598954905341625,12.107217344272769,12.289158058166503,4288676800.0
2022-04-20,0.1390480787973075,11.635088847547069,12.138553416783576,12.342553329467773,4377170900.0
2022-04-22,0.1537666492074328,11.69256997901999,12.171059320305943,12.401616096496582,4411865600.0
2022-04-25,0.1597459909767313,11.749602664112464,12.182461087743109,12.427382373809817,4337304700.0
2022-04-26,0.1566425275392432,11.773808511910715,12.186219525047838,12.437077760696411,4270890800.0
2022-04-27,0.147326502965489,11.804342419478123,12.189030982188273,12.447990131378171,4222126700.0
2022-04-28,0.1342691399296443,11.897810483010923,12.191732186107512,12.47194848060608,4222126700.0
2022-04-29,0.1205464543310489,11.943917775592515,12.197525822325568,12.486938762664796,4265425200.0
2022-05-02,0.1069814797141913,11.949568048275784,12.203412055910745,12.489477014541626,4341669100.0
2022-05-03,0.0920308460533495,11.925256182640371,12.204270026206869,12.477325439453123,4269212900.0
2022-05-04,0.0785422964719469,11.92859501749425,12.209412064327816,12.478879499435426,4321743900.0
2022-05-05,0.0783390188512075,11.931911883346222,12.243456911077043,12.523319149017334,4431160900.0
2022-05-06,0.0859044186140707,11.975846256761354,12.275207119838614,12.572312927246092,4331721000.0
2022-05-09,0.1045779569509509,11.9733566248847,12.322503360368744,12.64327449798584,4461291200.0
2022-05-10,0.1231412685241541,11.963907283202031,12.353552517170977,12.6645751953125,4368976700.0
2022-05-11,0.1422033625657407,11.94630160454777,12.387861654393976,12.688416576385498,4429307300.0
2022-05-12,0.1676063829749867,11.879835559275872,12.438895631000538,12.740143251419068,4538202700.0
2022-05-13,0.1969616132222797,11.826463998274471,12.492085996018746,12.799034881591798,4652618600.0
2022-05-16,0.2296688566838719,11.753952670812152,12.55022671087501,12.85347876548767,4719618700.0
2022-05-17,0.2644510503049303,11.694483884995588,12.611524463270996,12.92157816886902,4811694000.0
2022-05-18,0.2951800498180106,11.703981634753452,12.66322225504003,12.991716670989993,4720779300.0
2022-05-19,0.3174416382228129,11.708136307579109,12.703937493599945,13.031475353240968,4639793100.0
2022-05-20,0.3362138370700368,11.699964706502524,12.752171050860158,13.079797315597537,4703776200.0
2022-05-23,0.3553425605117263,11.735227505501364,12.80906761542508,13.166858768463134,4783366100.0
2022-05-24,0.3817951766907428,11.761751378448084,12.885641159949328,13.291028356552124,4877173500.0
2022-05-25,0.4041686499817533,11.876423458113512,12.94344941647504,13.396120357513428,4722720400.0
2022-05-26,0.4251538576318081,12.004756917478,13.007009849382978,13.511436796188354,4792712300.0
2022-05-27,0.4437798898901924,12.14749954691178,13.06950347809705,13.624493169784548,4871015900.0
2022-05-30,0.4478467754689362,12.343356352269698,13.10228097716323,13.702378416061402,4752720300.0
2022-05-31,0.4371318141063962,12.59268746652072,13.122902580664872,13.77252049446106,4654610200.0
2022-06-01,0.4172247228498035,12.856948978301228,13.14396282504099,13.8387478351593,4738208200.0
2022-06-02,0.3913588474451838,12.943582171015857,13.163484464874994,13.866958284378052,4691855000.0
2022-06-03,0.3603370115101847,13.029374992456964,13.177607114189696,13.890484523773193,4641116700.0
2022-06-06,0.3306584751137247,13.061416273389556,13.200442581757567,13.904417037963867,4701513600.0
2022-06-07,0.3027690703969706,13.17219655463731,13.222738990593744,13.937154245376586,4740727500.0
2022-06-08,0.2793830004818606,13.279722490018356,13.25057637888292,13.972362089157103,4821061200.0
2022-06-09,0.2583212153008866,13.298671089705952,13.274649086673836,13.9811222076416,4755137300.0
2022-06-10,0.2360415307364478,13.282694496444552,13.289936693877744,13.974583864212036,4701258300.0
2022-06-13,0.2105834310122062,13.224002595692095,13.29714020144253,13.94953145980835,4638156600.0
2022-06-14,0.1812327639069015,13.13524647421111,13.297289495085218,13.908912849426269,4573649500.0
2022-06-15,0.1529603725832162,13.086135251235108,13.303313701299134,13.884967279434203,4642466400.0
2022-06-17,0.1227272302919478,13.01274218211696,13.299834941696066,13.860624504089357,4569680700.0
2022-06-20,0.0797377106754672,12.728357798041577,13.264950368308474,13.784443759918211,4385074200.0
2022-06-21,0.0330720994621448,12.53686462268267,13.236958172229167,13.701849555969238,4477656000.0
2022-06-22,-0.0175142432161852,12.36872174722648,13.200262405690308,13.57882571220398,4392476500.0
2022-06-23,-0.0684462789017612,12.191974989674891,13.163580076613089,13.47408127784729,4334601800.0
2022-06-24,-0.1203940474451114,12.023011951159,13.1194260724071,13.347751903533936,4265339500.0
2022-06-27,-0.1714309023112892,11.887229348529312,13.07343943636496,13.215060377120972,4211926100.0
2022-06-28,-0.2065780619066629,11.850261024996176,13.059372858736848,13.155530977249146,4302343800.0
2022-06-29,-0.2269150589505575,11.825821286485429,13.052095053830234,13.1178138256073,4353731800.0
2022-06-30,-0.2381985581078565,11.796914951606713,13.040647535419268,13.072826051712036,4301683000.0
2022-07-01,-0.2437606125809765,11.767088625160032,13.02697584628853,13.025338792800904,4251772900.0
2022-07-04,-0.2405393959165571,11.759995310374372,13.02453259907319,12.997391843795777,4316721100.0
2022-07-05,-0.2270111042332315,11.778119259249468,13.033055631519442,12.971489763259887,4354045300.0
2022-07-06,-0.2152618267434029,11.780947840571589,13.02146376351619,12.91991286277771,4275616800.0
2022-07-07,-0.2073629123958386,11.804300705031611,13.003911092745929,12.851976776123047,4217999600.0
2022-07-08,-0.1959462491164433,11.864724762303092,13.00148135206504,12.805852890014648,4270146900.0
2022-07-11,-0.1801566071091558,11.910514307180618,13.00484941895662,12.776997089385986,4313244700.0
2022-07-12,-0.1630581558778908,11.939710362035598,13.005590592781909,12.75450325012207,4273667100.0
2022-07-13,-0.1487816124642626,11.95432678936933,12.998639796938187,12.730873155593873,4227205100.0
2022-07-14,-0.1365380808392425,11.994620224088822,12.992317993725022,12.700199508666993,4262702300.0
2022-07-15,-0.1314094285952043,11.994474513371651,12.972700620105636,12.66407299041748,4215551300.0
2022-07-18,-0.1273021032684387,12.019331917209836,12.962228097092243,12.678841638565064,4254162100.0
2022-07-19,-0.1191200284141023,12.03037138449592,12.963571458100212,12.701108360290528,4300944400.0
2022-07-20,-0.1043363720869856,12.06261381937546,12.975198023126556,12.749049997329712,4349506700.0
2022-07-21,-0.0860246990132171,12.116092195249337,12.986190326028703,12.79858193397522,4305985900.0
2022-07-22,-0.0673530781953342,12.250262345197632,12.994078540016396,12.856066274642943,4247142700.0
2022-07-25,-0.0470335740908604,12.448552846286884,13.007181879298557,12.92513861656189,4302818900.0
