Date,BB_upper,ATR,BB_lower,EMA_long,OBV,RSI,BB_middle,target
2019-08-22,19.288357638379125,0.4921833985072041,16.897517109850853,18.70413311399043,626568053.0,36.43814908467584,18.09293737411499,0.0
2019-08-23,19.087085931181967,0.4811507048613016,16.887728293061194,18.646917925117453,610002960.0,34.046777396588936,17.98740711212158,2.0
2019-08-26,18.95148115758596,0.4867372869721316,16.799593824103503,18.57725352684002,580750509.0,30.488683218992485,17.875537490844728,2.0
2019-08-27,18.804131741705547,0.4821244361242807,16.710010103997575,18.50349215926059,559081696.0,28.97315411680256,17.75707092285156,2.0
2019-08-28,18.69016919229397,0.4785949244028327,16.647703312894013,18.440901137801763,591703041.0,33.30117433536729,17.668936252593994,2.0
2019-08-29,18.656275720409432,0.4696637046516114,16.54276755351635,18.376832984888964,573971326.0,32.294595870903095,17.59952163696289,2.0
2019-08-30,18.60994310267266,0.4681550109604416,16.497755147144233,18.327693549776704,595680601.0,38.60579630006774,17.553849124908446,2.0
2019-09-02,18.54761959306968,0.4644922476323609,16.489894330575343,18.290827956683632,631920137.0,43.34522483802567,17.51875696182251,2.0
2019-09-03,18.522030285667537,0.4588298926685499,16.460075923133733,18.24837249980005,619065339.0,41.02603624707239,17.491053104400635,2.0
2019-09-04,18.46338657371644,0.4679195498332048,16.408360824660026,18.19658628492106,600382092.0,37.636707981580855,17.43587369918823,2.0
2019-09-05,18.30333247634735,0.4559938448971793,16.4411808445755,18.155113208145664,618376945.0,41.55346641686809,17.372256660461424,2.0
2019-09-06,18.10371712867793,0.4856524162801142,16.544193180159958,18.130796308702266,644921876.0,48.13155544400485,17.323955154418947,2.0
2019-09-09,18.12441797760296,0.5033860264296791,16.530887694088936,18.13621430564385,677749660.0,57.64567072318373,17.327652835845946,0.0
2019-09-10,18.28829366609113,0.5032581451738699,16.435633068833187,18.150530151965302,710336666.0,60.13814510782749,17.36196336746216,0.0
2019-09-11,18.32466655887048,0.5065342735342621,16.417203749051886,18.15144716387601,683164301.0,55.20795508463667,17.37093515396118,0.0
2019-09-12,18.39249199790433,0.4941135135513375,16.39475718575046,18.149222228183262,663811828.0,54.05332667219879,17.393624591827393,0.0
