Date,wavelet_cD,target
2023-03-14,1.3287981825982342e-15,1.0
2023-03-15,-5.330157737558697e-06,1.0
2023-03-16,4.111294638065033e-16,0.0
2023-03-17,-6.129479737738454e-05,0.0
2023-03-20,3.183217578417441e-16,1.0
2023-03-21,4.263946935999154e-05,0.0
2023-03-22,2.385678460337104e-15,0.0
2023-03-23,-5.241179866331087e-05,0.0
2023-03-24,1.3439770130130313e-15,2.0
2023-03-27,3.593957670366748e-05,2.0
2023-03-28,1.871332949709981e-15,2.0
2023-03-29,2.0665676734509583e-05,2.0
2023-03-30,-2.3418766925686896e-16,1.0
2023-03-31,1.078198504501568e-05,0.0
2023-04-03,2.069958787709325e-15,0.0
2023-04-04,4.315908579701671e-05,2.0
2023-04-05,1.4289784633358948e-15,2.0
2023-04-06,-7.1930689292246976e-06,2.0
2023-04-10,1.992329912159363e-15,2.0
2023-04-11,7.193113745547226e-05,2.0
2023-04-12,1.654926196081874e-15,1.0
2023-04-13,1.654926196081874e-15,0.0
2023-04-14,1.237725200109452e-15,1.0
2023-04-17,-4.4952759589425226e-06,0.0
2023-04-18,2.3505503099485736e-15,0.0
2023-04-19,-3.686587870519245e-05,0.0
2023-04-20,2.685785621681092e-15,1.0
2023-04-24,-2.067979308976618e-05,0.0
2023-04-25,2.685785621681092e-15,0.0
2023-04-26,-2.3376241645942705e-05,0.0
2023-04-27,2.216109240560371e-16,0.0
2023-04-28,1.1689465240816417e-05,0.0
2023-05-02,1.7793926054832103e-15,0.0
2023-05-03,-3.5987751563549587e-06,2.0
2023-05-04,2.907396545737129e-15,2.0
2023-05-05,8.367751626606537e-05,2.0
2023-05-08,1.0950441942103597e-15,1.0
2023-05-09,1.4396445046380244e-05,2.0
2023-05-10,1.089840023782429e-15,1.0
2023-05-11,2.3394391253656145e-05,1.0
2023-05-12,8.855763344861601e-16,1.0
2023-05-15,8.997049930581542e-06,0.0
2023-05-16,2.0213865303819745e-15,0.0
2023-05-17,2.4293356815823734e-05,0.0
2023-05-18,1.3574211199518516e-15,0.0
2023-05-19,-1.97944957466634e-05,0.0
2023-05-22,2.4572358037211472e-15,0.0
2023-05-23,1.8895082045724924e-05,2.0
2023-05-24,3.390083352927676e-15,2.0
2023-05-25,7.468024226735303e-05,0.0
2023-05-26,-4.250072516143178e-17,0.0
2023-05-29,-1.0796997678330124e-05,0.0
2023-05-30,1.0924421089963945e-15,0.0
2023-05-31,-1.889463390409652e-05,2.0
2023-06-01,1.3955850364233413e-15,2.0
2023-06-02,3.511455397035932e-05,2.0
2023-06-05,-7.324869877312068e-16,1.0
2023-06-06,1.710656182271229e-05,1.0
2023-06-07,2.892651396191326e-15,2.0
2023-06-09,3.421357178165756e-05,2.0
2023-06-12,5.84601811404184e-16,2.0
2023-06-13,2.791117785253504e-05,2.0
2023-06-14,3.297275646962916e-15,2.0
2023-06-15,3.331303773184682e-05,2.0
2023-06-16,1.8110513089197866e-15,2.0
2023-06-19,3.511410582865242e-05,2.0
2023-06-20,1.790668308077059e-15,0.0
2023-06-21,2.544372800447831e-05,0.0
2023-06-22,1.790668308077059e-15,0.0
2023-06-23,-8.17830112852377e-06,0.0
2023-06-26,2.894819800536297e-15,0.0
2023-06-27,-2.907790609147373e-05,0.0
2023-06-28,1.332701310419182e-15,2.0
2023-06-29,3.089577938113252e-05,2.0
2023-06-30,3.052245955981192e-15,1.0
2023-07-03,5.07048396257816e-05,2.0
2023-07-04,4.085707466794375e-15,0.0
2023-07-05,2.273226681612445e-05,0.0
2023-07-06,3.22441726097189e-15,0.0
2023-07-07,4.910095240953953e-05,0.0
2023-07-10,2.380474289909173e-15,0.0
2023-07-11,-4.63722378873095e-05,0.0
2023-07-12,2.7000970903579002e-15,0.0
2023-07-13,2.8187455157151382e-05,0.0
2023-07-14,1.1093556628871681e-15,0.0
2023-07-17,5.000910480895942e-05,0.0
2023-07-18,2.7000970903579002e-15,0.0
2023-07-19,-2.7277510201377704e-05,0.0
2023-07-20,-2.072994553792284e-16,2.0
2023-07-21,4.6372237890714325e-05,1.0
2023-07-24,2.001870891277236e-15,0.0
2023-07-25,5.455412416031577e-06,0.0
2023-07-26,1.4784180824012338e-15,0.0
2023-07-27,-5.819255952915726e-05,0.0
2023-07-28,2.001870891277236e-15,2.0
2023-07-31,9.092503403059296e-06,0.0
2023-08-01,2.3869795029440866e-15,0.0
2023-08-02,-8.187936104232102e-06,0.0
