Date,Model_P_up_realistic,Model_Score_realistic,Model_strategy_simple,Buy_and_Hold
2024-11-18,110036.414311703,101188.93287290618,113811.35220905024,108643.03655398871
2024-11-19,110036.414311703,101188.93287290618,113811.35220905024,109624.94792512618
2024-11-21,110036.414311703,101188.93287290618,113811.35220905024,107724.48939277368
2024-11-22,110036.414311703,101188.93287290618,113811.35220905024,108041.22408571132
2024-11-25,110036.414311703,101188.93287290618,113811.35220905024,108009.55997172397
2024-11-26,110083.26298792688,101209.95746602415,114041.09716267092,110068.38944874001
2024-11-27,108898.348422974,100707.82280661313,111251.58019184362,107376.04740751146
2024-11-28,106602.55706665758,99310.58604119439,107247.83999774743,103511.78052566315
2024-11-29,106472.48468734173,99240.2355707435,106985.31713627407,103258.40284625842
2024-12-02,105336.7821960269,98374.09251870168,105467.15970861883,101793.13157871443
2024-12-03,106273.77163053602,99121.36309137006,106649.24701399884,102934.03998040567
2024-12-04,107549.07830997123,99519.74556629357,108290.98905423778,103567.86198936851
2024-12-05,107549.07830997123,101216.33259585225,108290.98905423778,105786.24981532265
2024-12-06,107549.07830997123,99528.9188717082,108290.98905423778,103631.24059207
2024-12-09,107549.07830997123,99528.9188717082,108290.98905423778,104138.31259201934
2024-12-10,107549.07830997123,99528.9188717082,108290.98905423778,105547.83342977695
2024-12-11,107549.07830997123,99528.9188717082,108290.98905423778,106571.63498444177
2024-12-12,107549.07830997123,99528.9188717082,108290.98905423778,103916.13845767123
2024-12-13,107549.07830997123,99528.9188717082,108290.98905423778,102572.39262033283
2024-12-16,107549.07830997123,99528.9188717082,108290.98905423778,101452.61281833859
2024-12-17,107549.07830997123,99528.9188717082,108290.98905423778,101996.50874357732
2024-12-18,107549.07830997123,99528.9188717082,108290.98905423778,99085.0726227249
2024-12-19,107549.07830997123,99528.9188717082,108290.98905423778,99628.97574435316
2024-12-20,107549.07830997123,99756.07714001146,108290.98905423778,100780.72910508506
2024-12-23,107549.07830997123,99347.83528505421,108290.98905423778,98829.11143947438
2024-12-26,107549.07830997123,99546.88332736107,108290.98905423778,99468.99280843204
2024-12-27,107549.07830997123,99014.80425754574,108290.98905423778,98477.17920528399
2024-12-30,,,,98317.21066214197
