Date,Model_strategy_realistic,Model_strategy_simple,Buy_and_Hold
2024-07-18,97393.78113029219,95749.5154318382,85120.34847370825
2024-07-19,97894.44296310162,96241.80487878382,85557.98880102427
2024-07-22,98561.98922298169,96898.18800518055,86141.50674572786
2024-07-23,98311.64975497939,96652.03487311541,85922.67910691653
2024-07-24,98395.10479591107,96734.09432572946,85995.62912834031
2024-07-25,98895.75807712293,97226.37536408275,86433.261980503
2024-07-26,99146.08899352765,97472.52008755556,86652.08214416102
2024-07-29,98645.4271607182,96980.23064060992,86214.44181684499
2024-07-30,97143.45876548505,95503.3791169577,84901.53578520355
2024-07-31,96642.79693267561,95011.0896700121,84463.89545788754
2024-08-01,97977.88090083815,96323.84751421321,85630.9238721414
2024-08-02,99062.64250419354,97390.46904353384,86579.13959789056
2024-08-05,98895.75807712293,97226.37536408275,86433.261980503
2024-08-06,100230.85059688306,98539.14161687621,87600.2978699102
2024-08-07,104402.98692844129,102641.50882893069,91247.26073005935
2024-08-08,103706.58240113354,102067.17833887793,90153.17486207595
2024-08-09,103706.58240113354,102067.17833887793,90809.62787789665
2024-08-12,103706.58240113354,102067.17833887793,90371.99502573395
2024-08-13,103706.58240113354,102067.17833887793,91684.90853252872
2024-08-14,103706.58240113354,102067.17833887793,91611.96598625826
2024-08-15,103706.58240113354,102067.17833887793,95040.11615790274
2024-08-16,103706.58240113354,102067.17833887793,94894.24601566851
2024-08-19,103706.58240113354,102067.17833887793,94894.24601566851
2024-08-20,103706.58240113354,102067.17833887793,94383.65566692868
2024-08-21,103706.58240113354,102067.17833887793,94383.65566692868
2024-08-22,103706.58240113354,102067.17833887793,94821.29599424472
2024-08-23,103706.58240113354,102067.17833887793,95404.81393894833
2024-08-26,103706.58240113354,102067.17833887793,95404.81393894833
2024-08-27,103706.58240113354,102067.17833887793,95040.11615790274
2024-08-28,103706.58240113354,102067.17833887793,94456.60568835249
2024-08-29,104062.87906206492,102786.51772467121,93800.14519737841
2024-08-30,104134.23775630993,102786.51772467121,93800.14519737841
2024-09-02,104160.64870429218,102866.44841464334,93873.08774364888
2024-09-03,103622.25984300023,102306.95815873383,93362.51234521573
2024-09-04,105106.11336509412,103825.57573781654,94748.3609231276
2024-09-05,104950.85057810383,103665.72254917075,94602.48330574004
2024-09-06,105111.0305088719,103825.57573781654,94748.3609231276
2024-09-09,106079.37711672274,104784.70306098976,95623.63410260635
2024-09-10,107128.44386074689,105823.75288283665,96571.84235320218
2024-09-11,104752.74824366126,103585.79286178573,95113.05870417319
2024-09-12,104752.74824366126,103585.79286178573,94164.84297842401
2024-09-13,104752.74824366126,103585.79286178573,92851.92947162924
2024-09-16,104752.74824366126,103585.79286178573,93800.14519737841
2024-09-17,104752.74824366126,103585.79286178573,94529.5407594696
2024-09-18,104752.74824366126,103585.79286178573,94675.41837685715
2024-09-19,104752.74824366126,103585.79286178573,94456.60568835249
2024-09-20,104975.20905344767,104075.17957189256,93070.75711044061
2024-09-23,104819.54876970482,103993.6125057461,92997.81456417016
2024-09-24,104859.86403058327,104075.17957189256,93070.75711044061
2024-09-25,104220.12150075535,103422.67647869799,92487.24664089034
2024-09-26,105493.4080904606,104727.6910240814,93654.2750551442
2024-09-27,106133.34090277003,105380.19411727597,94237.78552469447
2024-09-30,107425.53348988289,106685.20866265938,95404.81393894833
2024-10-01,111665.24012901688,110926.52056339548,99197.66936679173
2024-10-02,111135.62015634688,110518.69660931898,100072.94254627045
2024-10-03,111135.62015634688,110518.69660931898,97738.87076745604
2024-10-04,111135.62015634688,110518.69660931898,96863.60506313066
2024-10-07,111135.62015634688,110518.69660931898,96061.27442992237
2024-10-08,111135.62015634688,110518.69660931898,95404.81393894833
2024-10-09,111135.62015634688,110518.69660931898,95404.81393894833
2024-10-10,111135.62015634688,110518.69660931898,95623.63410260635
2024-10-11,111135.62015634688,110518.69660931898,93946.03028991933
2024-10-14,111135.62015634688,110518.69660931898,94237.78552469447
2024-10-15,111135.62015634688,110518.69660931898,93946.03028991933
2024-10-16,111135.62015634688,110518.69660931898,94383.65566692868
2024-10-17,111135.62015634688,110518.69660931898,93800.14519737841
2024-10-18,111135.62015634688,110518.69660931898,93946.03028991933
2024-10-21,111135.62015634688,110518.69660931898,93581.3250337204
2024-10-22,111135.62015634688,110518.69660931898,93508.38248744994
2024-10-23,111213.74762566068,110779.35711908442,92997.81456417016
2024-10-24,111591.6725044002,111474.43705179002,93581.3250337204
2024-10-25,110978.73004511865,110779.35711908442,92997.81456417016
2024-10-28,112053.36955676456,111995.75590575088,94018.96536103645
2024-10-29,112770.43882427464,112777.72528226052,94675.41837685715
2024-10-30,112392.890045798,112343.29587210368,94310.72059581158
2024-10-31,108693.45287981344,108694.09505722679,92195.48393096185
2024-11-01,108693.45287981344,108694.09505722679,91466.08089371737
2024-11-04,108693.45287981344,108694.09505722679,92414.29661946654
2024-11-05,108693.45287981344,108694.09505722679,92487.24664089034
2024-11-06,108693.45287981344,108694.09505722679,91174.32565894224
2024-11-07,108693.45287981344,108694.09505722679,91539.03091514115
2024-11-08,108693.45287981344,108694.09505722679,89934.35469841793
2024-11-11,108693.45287981344,108694.09505722679,91247.26073005935
2024-11-12,108693.45287981344,108694.09505722679,91757.84360364583
2024-11-13,108693.45287981344,108694.09505722679,92851.92947162924
2024-11-14,108693.45287981344,108694.09505722679,92195.48393096185
2024-11-18,108693.45287981344,108694.09505722679,90590.80771423863
2024-11-19,108693.45287981344,108694.09505722679,90663.75026050908
2024-11-21,108693.45287981344,108694.09505722679,90371.99502573395
2024-11-22,109071.99414796248,109471.11223636218,92487.24664089034
2024-11-25,108307.97551202163,108262.42504779497,91466.08089371737
2024-11-26,108707.82045280082,108866.75979422787,91976.65629215051
