Date,Model_strategy_realistic,Model_strategy_simple,Buy_and_Hold
2024-07-24,90744.42963120784,91662.64277199621,78017.0068009497
2024-07-25,90026.93854974993,90201.86761832064,76773.69434941538
2024-07-26,90466.5511085171,90932.25519515842,77395.35057518253
2024-07-29,90773.50325803785,91297.44515935837,77706.17543315107
2024-07-30,90142.72800401834,90567.07287939638,77084.53222704412
2024-07-31,90328.82564458967,90786.17767979087,77271.01933002911
2024-08-01,91355.16798195048,91954.79780273132,78265.66929125656
2024-08-02,91890.31457651782,92532.47666854608,78757.35024917024
2024-08-05,98695.79871817134,99554.7063598573,84734.19452309766
2024-08-06,101938.22549505733,102846.37222541313,87535.83661472169
2024-08-07,102154.4068686535,103065.83650238869,87722.62967972155
2024-08-08,103307.24862738154,104236.18517229355,88718.75086255248
2024-08-09,105829.1436545422,106796.37738283044,90897.81233253462
2024-08-12,106549.68293829463,107527.85868628728,91520.39946400662
2024-08-13,107846.66570349238,108844.53727001023,92641.0667163844
2024-08-14,108783.34869070552,109795.44460825318,93450.41436370577
2024-08-15,109864.1576163342,110892.66656343847,94384.29506091379
2024-08-16,109387.17944452145,110526.94415417247,93201.37430325289
2024-08-19,109387.17944452145,110526.94415417247,97372.7367273678
2024-08-20,109387.17944452145,110526.94415417247,97746.28379838691
2024-08-21,109387.17944452145,110526.94415417247,97310.46369259436
2024-08-22,109387.17944452145,110526.94415417247,96625.62305583924
2024-08-23,109387.17944452145,110526.94415417247,97497.23722810393
2024-08-26,109387.17944452145,110526.94415417247,97185.93715253781
2024-08-27,109387.17944452145,110526.94415417247,96003.02941453713
2024-08-28,109387.17944452145,110526.94415417247,97559.49724321713
2024-08-29,109387.17944452145,110526.94415417247,97310.46369259436
2024-08-30,109387.17944452145,110526.94415417247,97372.7367273678
2024-09-02,109253.48440284003,110392.50455540094,97123.69666691491
2024-09-03,109690.73999539742,111589.70050385408,98176.99368754795
2024-09-04,110380.2961182307,112439.89675270954,98924.99920580072
2024-09-05,111277.59050569679,113431.80964114523,99797.68750003254
2024-09-06,109098.81121502089,111235.44613501352,97865.31604183582
2024-09-09,109098.81121502089,111235.44613501352,98176.99368754795
2024-09-10,109098.81121502089,111235.44613501352,98488.65831359987
2024-09-11,109098.81121502089,111235.44613501352,97366.63050673036
2024-09-12,109098.81121502089,111235.44613501352,96930.29612435962
2024-09-13,109098.81121502089,111235.44613501352,96930.29612435962
2024-09-16,109098.81121502089,111235.44613501352,96182.29060610684
2024-09-17,109098.81121502089,111235.44613501352,95558.92229502238
2024-09-18,109098.81121502089,111235.44613501352,94997.92466616289
2024-09-19,109098.81121502089,111235.44613501352,93688.89547973021
2024-09-20,109098.81121502089,111235.44613501352,91943.5514404171
